,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
3856,1237.503,107.964,77,167,1212.66,2430.726,1212.74,2430.38,131.351,48.311,32.614,79.952,47.993,1208.73,2454.617,77.848,32.705
3857,1144.44,118.029,85,174,1229.73,2628.953,1229.785,2629.114,126.92,44.294,32.897,59.908,47.793,1215.237,2647.425,54.773,34.645
3858,1120.455,124.793,86,175,1250.918,2654.9,1250.935,2655.018,128.249,45.035,31.678,46.829,45.284,1239.209,2674.308,59.556,31.76
3859,834.404,134.506,93,178,1232.069,2695.616,1231.951,2695.737,110.21,38.226,27.792,47.127,39.208,1223.284,2712.15,59.852,28.062
3860,1076.738,123.862,82,168,1336.303,1786.671,1336.31,1786.755,122.215,37.778,36.289,172.835,39.454,1321.229,1772.598,127.417,35.463
3861,1198.389,111.035,80,168,1323.701,1826.532,1323.676,1826.875,124.836,39.916,38.226,80.138,40.964,1316.606,1845.886,69.444,37.917
3862,199.79,103.022,84,152,1305.067,1847.865,1305.063,1847.878,52.075,16.61,15.315,13.951,17.397,1297.086,1846.571,173.784,15.753
3863,152.525,101.53,81,154,1331.799,1853.627,1331.738,1853.625,46.456,15.182,12.792,65.605,15.598,1330.305,1861.297,72.759,12.993
3864,1150.245,115.256,76,167,1355.208,1865.227,1355.197,1865.248,122.841,38.786,37.76,94.916,39.698,1351.88,1884.755,79.563,37.989
3865,1238.646,128.154,81,170,1311.987,1874,1312.02,1873.958,128.256,41.924,37.617,23.677,42.28,1294.003,1885.954,35.106,36.906
3866,929.872,119.627,84,168,1321.16,1907.707,1321.344,1907.644,111.14,36.619,32.331,36.812,37.3,1307.702,1920.543,46.116,32.5
3867,908.409,133.45,82,169,1358.093,1904.875,1358.06,1904.882,109.865,34.825,33.213,40.946,35.308,1341.264,1910.269,15.182,33.297
3868,1172.968,122.272,81,170,1311.311,1945.631,1311.316,1945.588,124.994,40.908,36.508,72.888,41.337,1309.072,1924.481,98.097,36.15
3869,159.768,109.706,83,159,1337.676,1949.369,1337.651,1949.453,49.018,18.788,10.827,87.93,18.748,1336.469,1958.214,80.538,10.959
3870,1266.208,120.351,77,170,1363.381,1943.24,1363.264,1943.341,129.023,40.976,39.344,64.739,41.796,1357.017,1963.522,74.313,39.383
3871,169.15,118.125,86,164,1302.683,1972.013,1302.686,1972.018,47.604,14.76,14.592,19.625,15.74,1295.887,1975.68,22.38,14.561
3872,171.525,101.729,85,147,1319.417,1973.518,1319.36,1973.484,49.404,17.896,12.204,51.873,18.19,1313.866,1980.817,56.908,12.527
3873,1367.217,121.824,65,168,1346.928,1987.272,1347.274,1987.061,135.242,44.652,38.986,45.215,45.171,1331.675,2004.447,46.075,38.684
3874,1399.88,121.828,82,172,1303.359,2001.386,1303.103,2001.537,137.117,44.293,40.241,32.912,44.73,1294.003,2022.255,59.901,40.533
3875,1224.866,128.969,81,170,1285.3,1827.16,1285.426,1826.966,127.587,42.642,36.573,89.448,42.997,1280.476,1848.283,74.525,36.982
3876,882.431,121.648,82,167,1302.322,1790.168,1302.277,1790.16,112.188,36.893,30.455,117.773,38.988,1290.065,1776.023,134.644,30.548
3877,870.439,96.166,73,160,1554.28,2318.197,1554.241,2318.398,110.888,38.594,28.716,150.963,39.553,1539.208,2304.617,140.798,29.254
3878,275.144,100.804,85,147,1575.006,2340.078,1574.986,2340.021,60.446,19.36,18.096,53.605,19.698,1570.201,2348.966,65.886,18.289
3879,968.223,96.531,76,156,1600.38,2352.095,1600.338,2352.132,115.101,36.882,33.425,155.485,38.142,1587.325,2338.179,134.454,33.351
3880,307.426,118.649,81,162,1574.088,2360.13,1574.069,2360.135,63.823,20.379,19.207,87.354,20.961,1572.256,2370.371,72.897,19.341
3881,900.991,93.963,72,156,1546.937,2348.406,1546.695,2348.737,111.455,36.002,31.864,26.595,37.605,1532.359,2359.754,36.296,31.871
3882,233.919,99.696,76,152,1554.224,2368.979,1554.27,2368.968,59.419,22.95,12.977,20.053,22.418,1543.66,2372.939,22.452,12.67
3883,842.321,94.676,75,158,1557.925,2392.073,1557.991,2392.012,108.827,35.273,30.405,62.025,36.888,1544.859,2404.617,48.764,30.693
3884,901.929,108.107,77,164,1588.73,2383.72,1588.712,2383.932,113.595,35.27,32.56,45.763,39.118,1575.51,2398.624,43.758,33.038
